variable,coefficient,abs_coefficient,rank,impact_direction,category
time_index,32388.817633392897,32388.817633392897,1,Positive,Temporal
year,-29958.34686404572,29958.34686404572,2,Negative,Temporal
passengers_roll_mean_4,12007.567084520893,12007.567084520893,3,Positive,Historical
growth_rate,10787.88433355254,10787.88433355254,4,Positive,Historical
passengers_roll_mean_12,5680.56256911643,5680.56256911643,5,Positive,Historical
sin_week,3678.6552655463106,3678.6552655463106,6,Positive,Cyclical
avg_weekly_temp_f,-3371.7813450835683,3371.7813450835683,7,Negative,Weather
temp_squared,2996.6364114952803,2996.6364114952803,8,Positive,Weather
month,-2970.8928309611247,2970.8928309611247,9,Negative,Temporal
passengers_roll_std_4,2743.0814418667005,2743.0814418667005,10,Positive,Historical
quarter,-2175.1052117658314,2175.1052117658314,11,Negative,Temporal
passengers_lag1,1618.9433406852665,1618.9433406852665,12,Positive,Historical
sin_month,-1429.851621199034,1429.851621199034,13,Negative,Temporal
major_holiday,-1423.846075723731,1423.846075723731,14,Negative,Holiday
week_of_year,1237.1012778317217,1237.1012778317217,15,Positive,Temporal
is_thanksgiving_week,-1043.1935474574668,1043.1935474574668,16,Negative,Holiday
passengers_lag4,939.8428699546339,939.8428699546339,17,Positive,Historical
is_christmas_week,-928.4738154035643,928.4738154035643,18,Negative,Holiday
passengers_lag52,-858.5184198975948,858.5184198975948,19,Negative,Historical
total_snow_inches,660.5371980183845,660.5371980183845,20,Positive,Weather
cos_week,573.9634599917443,573.9634599917443,21,Positive,Cyclical
is_bad_weather,-436.1415562052707,436.1415562052707,22,Negative,Weather
cos_month,-412.2228786234571,412.2228786234571,23,Negative,Temporal
total_precipitation_inches,311.2927580686978,311.2927580686978,24,Positive,Weather
holidays_in_week,-228.93390056662759,228.93390056662759,25,Negative,Holiday
buses,-171.64810291854212,171.64810291854212,26,Negative,Other
is_summer_holiday,7.306215715856865,7.306215715856865,27,Positive,Holiday
